Drag (N),Velocity (m/s),Velocity (km/h)
0.01,1,3.6
0.03,2,7.2
0.06,3,10.8
0.1,4,14.4
0.16,5,18.0
0.23,6,21.6
0.31,7,25.2
0.4,8,28.8
0.51,9,32.4
0.63,10,36.0
0.76,11,39.6
0.9,12,43.2
1.06,13,46.8
1.23,14,50.4
1.41,15,54.0
1.61,16,57.6
1.81,17,61.2
2.03,18,64.8
2.27,19,68.4
2.51,20,72.0
2.77,21,75.6
3.04,22,79.2
3.32,23,82.8
3.61,24,86.4
3.92,25,90.0
4.24,26,93.6
4.57,27,97.2
4.92,28,100.8
5.28,29,104.4
5.65,30,108.0
6.03,31,111.6
6.43,32,115.2
6.83,33,118.8
7.25,34,122.4
7.69,35,126.0
8.13,36,129.6
8.59,37,133.2
9.06,38,136.8
9.54,39,140.4
10.04,40,144.0
10.55,41,147.6
