Thrust (N),Watts (w),Ve (m/s)
1.16,77.93,8.6
1.17,78.13,8.62
1.17,78.32,8.63
1.17,78.52,8.65
1.18,78.72,8.66
1.18,78.92,8.68
1.18,79.11,8.69
1.19,79.31,8.71
1.2,79.51,8.73
1.2,79.71,8.74
1.2,79.91,8.76
1.21,80.12,8.77
1.21,80.32,8.79
1.21,80.52,8.8
1.22,80.72,8.82
1.22,80.93,8.83
1.23,81.13,8.85
1.23,81.34,8.87
1.24,81.54,8.88
1.24,81.75,8.9
1.25,81.95,8.91
1.25,82.16,8.93
1.25,82.36,8.94
1.26,82.57,8.96
1.27,82.78,8.98
1.27,82.99,8.99
1.27,83.2,9.01
1.28,83.41,9.02
1.28,83.62,9.04
1.28,83.83,9.05
1.29,84.04,9.07
1.29,84.25,9.08
1.3,84.46,9.1
1.3,84.68,9.12
1.31,84.89,9.13
1.31,85.1,9.15
1.32,85.32,9.16
1.32,85.53,9.18
1.32,85.75,9.19
1.33,85.96,9.21
1.34,86.18,9.23
1.34,86.4,9.24
1.35,86.62,9.26
1.35,86.83,9.27
1.35,87.05,9.29
1.36,87.27,9.3
1.36,87.49,9.32
1.37,87.71,9.33
1.37,87.93,9.35
1.38,88.16,9.37
1.38,88.38,9.38
1.39,88.6,9.4
1.39,88.82,9.41
1.4,89.05,9.43
1.4,89.27,9.44
1.4,89.5,9.46
1.41,89.72,9.48
1.41,89.95,9.49
1.42,90.17,9.51
1.42,90.4,9.52
1.43,90.63,9.54
1.43,90.86,9.55
1.44,91.09,9.57
1.44,91.32,9.58
1.45,91.55,9.6
1.45,91.78,9.62
1.45,92.01,9.63
1.46,92.24,9.65
1.46,92.47,9.66
1.47,92.71,9.68
1.47,92.94,9.69
1.48,93.17,9.71
1.49,93.41,9.73
1.49,93.64,9.74
1.49,93.88,9.76
1.5,94.12,9.77
1.5,94.35,9.79
1.51,94.59,9.8
1.51,94.83,9.82
1.52,95.07,9.83
1.52,95.31,9.85
1.53,95.55,9.87
1.53,95.79,9.88
1.54,96.03,9.9
1.54,96.27,9.91
1.55,96.51,9.93
1.55,96.76,9.94
1.56,97.0,9.96
1.56,97.25,9.98
1.57,97.49,9.99
1.57,97.74,10.01
1.58,97.98,10.02
1.58,98.23,10.04
1.58,98.48,10.05
1.59,98.72,10.07
1.59,98.97,10.08
1.6,99.22,10.1
1.61,99.47,10.12
1.61,99.72,10.13
1.62,99.97,10.15
1.62,100.23,10.16
1.63,100.48,10.18
1.63,100.73,10.19
1.64,100.99,10.21
1.64,101.24,10.23
1.64,101.5,10.24
1.65,101.75,10.26
1.65,102.01,10.27
1.66,102.26,10.29
1.66,102.52,10.3
1.67,102.78,10.32
1.68,103.04,10.34
1.68,103.3,10.35
1.69,103.56,10.37
1.69,103.82,10.38
1.7,104.08,10.4
1.7,104.34,10.41
1.71,104.61,10.43
1.71,104.87,10.44
1.72,105.13,10.46
1.72,105.4,10.48
1.73,105.67,10.49
1.73,105.93,10.51
1.74,106.2,10.52
1.74,106.47,10.54
1.75,106.73,10.55
1.75,107.0,10.57
1.76,107.27,10.59
1.76,107.54,10.6
1.77,107.81,10.62
1.77,108.09,10.63
1.78,108.36,10.65
1.78,108.63,10.66
1.79,108.9,10.68
1.79,109.18,10.69
1.8,109.45,10.71
1.81,109.73,10.73
1.81,110.01,10.74
1.82,110.28,10.76
1.82,110.56,10.77
1.83,110.84,10.79
1.83,111.12,10.8
1.84,111.4,10.82
1.84,111.68,10.84
1.85,111.96,10.85
1.85,112.24,10.87
1.86,112.53,10.88
1.86,112.81,10.9
1.87,113.09,10.91
1.87,113.38,10.93
1.88,113.66,10.94
1.88,113.95,10.96
1.89,114.24,10.98
1.89,114.53,10.99
1.9,114.81,11.01
1.91,115.1,11.02
1.91,115.39,11.04
1.92,115.68,11.05
1.92,115.98,11.07
1.93,116.27,11.09
1.93,116.56,11.1
1.94,116.85,11.12
1.94,117.15,11.13
1.95,117.44,11.15
1.95,117.74,11.16
1.96,118.04,11.18
1.96,118.33,11.19
1.97,118.63,11.21
1.98,118.93,11.23
1.98,119.23,11.24
1.99,119.53,11.26
1.99,119.83,11.27
2.0,120.13,11.29
2.0,120.44,11.3
2.01,120.74,11.32
2.02,121.04,11.34
2.02,121.35,11.35
2.03,121.66,11.37
2.03,121.96,11.38
2.04,122.27,11.4
2.04,122.58,11.41
2.05,122.89,11.43
2.05,123.2,11.44
2.06,123.51,11.46
2.07,123.82,11.48
2.07,124.13,11.49
2.08,124.44,11.51
2.08,124.76,11.52
2.09,125.07,11.54
2.09,125.38,11.55
2.1,125.7,11.57
2.11,126.02,11.59
2.11,126.34,11.6
2.12,126.65,11.62
2.12,126.97,11.63
2.13,127.29,11.65
2.13,127.61,11.66
2.14,127.93,11.68
2.14,128.26,11.69
2.15,128.58,11.71
2.16,128.9,11.73
2.16,129.23,11.74
2.17,129.55,11.76
2.17,129.88,11.77
2.18,130.21,11.79
2.18,130.54,11.8
2.19,130.87,11.82
2.2,131.19,11.84
2.2,131.53,11.85
2.21,131.86,11.87
2.21,132.19,11.88
2.22,132.52,11.9
2.23,132.86,11.91
2.23,133.19,11.93
2.24,133.53,11.95
2.24,133.86,11.96
2.25,134.2,11.98
2.26,134.54,11.99
2.26,134.88,12.01
2.27,135.22,12.02
2.27,135.56,12.04
2.28,135.9,12.05
2.29,136.24,12.07
2.29,136.58,12.09
2.3,136.93,12.1
