Ve,Watts
30.0,1137.73
29.94,1126.07
29.88,1114.53
29.82,1103.12
29.76,1091.81
29.7,1080.63
29.64,1069.56
29.58,1058.6
29.52,1047.75
29.46,1037.02
29.4,1026.39
29.34,1015.88
29.28,1005.47
29.22,995.17
29.16,984.97
29.1,974.88
29.04,964.89
28.98,955.01
28.92,945.22
28.86,935.54
28.8,925.95
28.74,916.47
28.68,907.08
28.62,897.78
28.56,888.58
28.5,879.48
28.44,870.47
28.38,861.55
28.32,852.72
28.26,843.99
28.2,835.34
28.14,826.78
28.08,818.31
28.02,809.93
27.96,801.63
27.9,793.42
27.84,785.29
27.78,777.24
27.72,769.28
27.66,761.4
27.6,753.6
27.54,745.88
27.47,738.23
27.41,730.67
27.35,723.18
27.29,715.77
27.23,708.44
27.17,701.18
27.11,694.0
27.05,686.89
26.99,679.85
26.93,672.89
26.87,665.99
26.81,659.17
26.75,652.42
26.69,645.73
26.63,639.12
26.57,632.57
26.51,626.09
26.45,619.67
26.39,613.32
26.33,607.04
26.27,600.82
26.21,594.66
26.15,588.57
26.09,582.54
26.03,576.57
25.97,570.67
25.91,564.82
25.85,559.03
25.79,553.3
25.73,547.64
25.67,542.02
25.61,536.47
25.55,530.98
25.49,525.54
25.43,520.15
25.37,514.82
25.31,509.55
25.25,504.33
25.19,499.16
25.13,494.05
25.07,488.98
25.01,483.97
24.95,479.02
24.89,474.11
24.83,469.25
24.77,464.44
24.71,459.68
24.65,454.97
24.59,450.31
24.53,445.7
24.47,441.13
24.41,436.61
24.35,432.14
24.29,427.71
24.23,423.33
24.17,418.99
24.11,414.7
24.05,410.45
23.99,406.25
23.93,402.08
23.87,397.96
23.81,393.89
23.75,389.85
23.69,385.86
23.63,381.9
23.57,377.99
23.51,374.12
23.45,370.29
23.39,366.49
23.33,362.74
23.27,359.02
23.21,355.34
23.15,351.7
23.09,348.1
23.03,344.53
22.97,341.0
22.91,337.51
22.85,334.05
22.79,330.63
22.73,327.24
22.67,323.89
22.61,320.57
22.55,317.29
22.48,314.03
22.42,310.82
22.36,307.63
22.3,304.48
22.24,301.36
22.18,298.27
22.12,295.22
22.06,292.19
22.0,289.2
21.94,286.24
21.88,283.3
21.82,280.4
21.76,277.53
21.7,274.69
21.64,271.87
21.58,269.09
21.52,266.33
21.46,263.6
21.4,260.9
21.34,258.23
21.28,255.58
21.22,252.96
21.16,250.37
21.1,247.81
21.04,245.27
20.98,242.75
20.92,240.27
20.86,237.8
20.8,235.37
20.74,232.96
20.68,230.57
20.62,228.21
20.56,225.87
20.5,223.56
20.44,221.27
20.38,219.0
20.32,216.75
20.26,214.53
20.2,212.34
20.14,210.16
20.08,208.01
20.02,205.88
19.96,203.77
19.9,201.68
19.84,199.61
19.78,197.57
19.72,195.54
19.66,193.54
19.6,191.56
19.54,189.59
19.48,187.65
19.42,185.73
19.36,183.83
19.3,181.94
19.24,180.08
19.18,178.23
19.12,176.41
19.06,174.6
19.0,172.81
18.94,171.04
18.88,169.29
18.82,167.55
18.76,165.84
18.7,164.14
18.64,162.46
